epoch	loss	acc	val_loss	val_acc
0	5.502104419501309	0.015542486797887662	5.037353784833113	0.021483437349975997
1	5.015324178018996	0.020523283725396062	4.798178706212623	0.023643783005280843
2	4.726467423294808	0.025894143062890063	4.357345623404603	0.03924627940470475
3	4.288079201345311	0.04449711953912626	3.713756211606345	0.08065290446829121
4	3.7170122286704546	0.08101296207393183	3.082306975993295	0.14726356216994718
5	3.259150676640306	0.12436989918386943	2.722668772183298	0.18807009121459434
6	2.965313488625587	0.16190590494479118	2.3976638242709654	0.24903984637542007
7	2.7469217627310605	0.19137061929908786	2.219013342362897	0.2726836293807009
8	2.587517875693363	0.21612457993278925	2.0949056335669898	0.30868939028814096
9	2.453364305237538	0.2418686989918387	1.9869453839481992	0.33053288523302704
10	2.36194014011297	0.2610417666826692	1.8867523413235558	0.371099375900144
11	2.270259735278653	0.28108497359577533	1.8493183024846414	0.3643783005566993
12	2.2062439556826896	0.29131661065770525	1.761539235060111	0.3940230436869899
13	2.1415637077417617	0.3042186749879981	1.6982075834983938	0.4127460393949134
14	2.0863068486084115	0.32174147863658187	1.64723468610889	0.4273883821697574
15	2.0445955964847076	0.3271723475756121	1.6435408485204739	0.42498799807969273
16	2.0027163377817696	0.33734397503600577	1.5986985307843193	0.44827172344714133
17	1.9733683053427342	0.34676548247719635	1.5484940484917284	0.4589534325492079
18	1.9384984198637554	0.35306649063850215	1.5323311615551085	0.4584733557369179
19	1.8929599242546897	0.3600576092174748	1.513707755021733	0.4667546807775346
20	1.8715050774472182	0.3696591454632741	1.4708003313050382	0.4830772923667787
21	1.8515386799465734	0.37902064330292845	1.4612514160312373	0.48475756118117874
22	1.827263928924795	0.37995079212674027	1.4510808167295048	0.4896783485071509
23	1.8051250855395042	0.3900624099855977	1.433374895708411	0.4941190590780627
24	1.7715511929227707	0.3964534325492079	1.4171919728550153	0.4944791166872802
25	1.767768329573662	0.39915386461833896	1.39204459569801	0.510201632232547
26	1.7373911831966113	0.4062049927988478	1.3756927941718813	0.5144023043686989
